Beverly Hills;Weezer
Bohemian Rhapsody;Queen
Cada dos minutos;Despistaos;Rula de la Fuga;kutxi romero
Como Si Fueras a Morir Mañana;Leiva
Complicated;Avril Lavigne 
Down In Atlanta;Pharrell Williams;Travis Scott
En Que Estrella Estara;Nena Daconte
In the End;Linkin Park
Is There Someone Else?;The Weeknd
One Dance;Drake
Scar Tissue;Red Hot Chili Peppers
Simple Plan;Perfect
Smells Like Teen Spirit;Nirvana
Wonderwall;Oasis
Lost Me;Giveon
Devil In A New Dress;Kanye West;Rick Ross
SKELETONS;Travis Scott
Ivy;Frank Ocean
White Dress;Kanye West
First Person Shooter;Drake;J Cole
All Falls Down;Kanye West
Fuel;Eminem;Jid
Off The Wall;Michael Jackson
m.A.A.d city;Kendrick Lamar;MC Eiht
